INFO:root:----------
INFO:root:epoch 1/200
INFO:root:1/519, train_loss: 0.9731, step time: 17.6289
INFO:root:2/519, train_loss: 0.9907, step time: 0.5994
INFO:root:3/519, train_loss: 0.9849, step time: 0.6025
INFO:root:4/519, train_loss: 0.9814, step time: 0.6024
INFO:root:5/519, train_loss: 0.9759, step time: 0.6021
INFO:root:6/519, train_loss: 0.9410, step time: 0.6014
INFO:root:7/519, train_loss: 0.9601, step time: 0.6008
INFO:root:8/519, train_loss: 0.9732, step time: 0.6032
INFO:root:9/519, train_loss: 0.9666, step time: 0.5983
INFO:root:10/519, train_loss: 0.9840, step time: 0.6053
INFO:root:11/519, train_loss: 0.9852, step time: 0.6054
INFO:root:12/519, train_loss: 0.9635, step time: 0.6021
INFO:root:13/519, train_loss: 0.9361, step time: 0.6027
INFO:root:14/519, train_loss: 0.9820, step time: 0.6004
INFO:root:15/519, train_loss: 0.9826, step time: 0.6010
INFO:root:16/519, train_loss: 0.9248, step time: 0.6060
INFO:root:17/519, train_loss: 0.9864, step time: 0.6037
INFO:root:18/519, train_loss: 0.9262, step time: 0.6003
INFO:root:19/519, train_loss: 0.9368, step time: 0.6011
INFO:root:20/519, train_loss: 0.9739, step time: 0.6017
INFO:root:21/519, train_loss: 0.9949, step time: 0.6021
INFO:root:22/519, train_loss: 0.9882, step time: 0.6036
INFO:root:23/519, train_loss: 0.9711, step time: 0.6076
INFO:root:24/519, train_loss: 0.9946, step time: 0.6025
INFO:root:25/519, train_loss: 0.9732, step time: 0.5982
INFO:root:26/519, train_loss: 0.9361, step time: 0.6060
INFO:root:27/519, train_loss: 0.9819, step time: 0.6054
INFO:root:28/519, train_loss: 0.9525, step time: 0.6034
INFO:root:29/519, train_loss: 0.9925, step time: 0.6018
INFO:root:30/519, train_loss: 0.9904, step time: 0.6013
INFO:root:31/519, train_loss: 0.9775, step time: 0.6065
INFO:root:32/519, train_loss: 0.9614, step time: 0.6012
INFO:root:33/519, train_loss: 0.9529, step time: 0.6032
INFO:root:34/519, train_loss: 0.9366, step time: 0.6044
INFO:root:35/519, train_loss: 0.9353, step time: 0.6017
INFO:root:36/519, train_loss: 0.9289, step time: 0.6030
INFO:root:37/519, train_loss: 0.9777, step time: 0.6031
INFO:root:38/519, train_loss: 0.9715, step time: 0.6031
INFO:root:39/519, train_loss: 0.9733, step time: 0.6015
INFO:root:40/519, train_loss: 0.9663, step time: 0.6019
INFO:root:41/519, train_loss: 0.9689, step time: 0.6020
INFO:root:42/519, train_loss: 0.9957, step time: 0.6051
INFO:root:43/519, train_loss: 0.9807, step time: 0.6028
INFO:root:44/519, train_loss: 0.9548, step time: 0.6041
INFO:root:45/519, train_loss: 0.9892, step time: 0.6041
INFO:root:46/519, train_loss: 0.9611, step time: 0.6070
INFO:root:47/519, train_loss: 0.9564, step time: 0.6031
INFO:root:48/519, train_loss: 0.9579, step time: 0.6058
INFO:root:49/519, train_loss: 0.9060, step time: 0.6023
INFO:root:50/519, train_loss: 0.9081, step time: 0.6019
INFO:root:51/519, train_loss: 0.9577, step time: 0.6071
INFO:root:52/519, train_loss: 0.9257, step time: 0.6007
INFO:root:53/519, train_loss: 0.9460, step time: 0.6041
INFO:root:54/519, train_loss: 0.9766, step time: 0.6026
INFO:root:55/519, train_loss: 0.9505, step time: 0.6050
INFO:root:56/519, train_loss: 0.9677, step time: 0.6017
INFO:root:57/519, train_loss: 0.9521, step time: 0.6025
INFO:root:58/519, train_loss: 0.9676, step time: 0.6008
INFO:root:59/519, train_loss: 0.9443, step time: 0.6036
INFO:root:60/519, train_loss: 0.9722, step time: 0.6058
INFO:root:61/519, train_loss: 0.9954, step time: 0.6017
INFO:root:62/519, train_loss: 0.9431, step time: 0.6043
INFO:root:63/519, train_loss: 0.9265, step time: 0.6016
INFO:root:64/519, train_loss: 0.9651, step time: 0.6054
INFO:root:65/519, train_loss: 0.9490, step time: 0.6012
INFO:root:66/519, train_loss: 0.9209, step time: 0.6071
INFO:root:67/519, train_loss: 0.9725, step time: 0.6052
INFO:root:68/519, train_loss: 0.9262, step time: 0.6049
INFO:root:69/519, train_loss: 0.9466, step time: 0.6069
INFO:root:70/519, train_loss: 0.9769, step time: 0.6010
INFO:root:71/519, train_loss: 0.9638, step time: 0.6056
